Time	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
99	-0.017336	0.010029	0.22129	0.162147	0.7266	0.980117	0.908913	0.903471	0.732523	0.047838	-0.545201	-0.776895	-0.959438	-1.110758	-0.580781	-0.249537	0.139636
100	-0.2338455	-0.07074	-0.056085	-0.265558	-0.140427	-0.042218	0.839347	0.576797	0.393225	0.322607	0.265063	-0.342736	-0.028162	-0.304961	-0.125219	-0.22404	-0.138993
101	-0.336025	-0.34447	-0.66617	-0.589434	-0.203691	-0.113019	0.228336	0.327411	0.295143	0.39271	0.251743	0.089996	-0.174072	-0.266161	-0.012284	-0.461227	-0.321284
102	0.232449	0.372665	0.344179	0.178941	-0.092074	-0.16967	-0.215182	-0.468693	-0.56938	-0.522827	-0.465545	-0.112262	-0.012727	0.249553	0.238288	0.560365	0.342551
103	-0.2882735	-0.24262	0.018996	-0.140243	0.169981	0.413359	0.726182	0.824144	0.903568	0.700267	0.401182	0.116469	-0.047467	-0.337374	-0.472261	-0.526785	-0.086565
104	0.169109	0.001881	0.34448	-0.043593	-0.022713	0.043664	-0.00847	0.00589	-0.035976	-0.2144	-0.434647	-0.253012	-0.925379	-1.003462	-0.479539	-0.461317	-0.387116
105	-0.0381355	-0.062285	0.224808	0.124869	0.1151	0.590404	0.632411	0.457181	0.613697	0.189225	0.312675	-0.127254	-0.824986	-0.420658	-0.953323	-0.282068	-0.011943
106	-0.208133	-0.441097	-0.297626	-0.77525	-0.48587	0.184068	0.28639	0.540935	0.216286	0.431319	0.391549	-0.009692	-0.708263	-0.667415	-0.901878	-0.767855	-0.601088
107	-0.33295	-0.393837	-0.174166	-0.573392	-0.26377	-0.070373	0.588415	0.73156	0.822477	0.451384	0.490007	-0.125108	-0.461282	-0.348078	-0.72979	-0.652758	-0.519349
108	-0.226321	-0.339611	-0.130761	-0.348471	0.070705	0.148789	0.229827	0.494065	0.412219	0.358979	0.090018	0.127808	-0.220407	-0.49365	-0.582019	-0.651885	-0.336011
109	0.1285695	-0.106615	-0.278477	-0.279181	-0.214345	0.088465	-0.231389	0.31644	0.604684	0.484615	0.774634	0.015044	-0.180804	-0.473576	-0.348913	-0.315188	-0.1119
110	0.0827615	-0.140385	-0.065042	0.105995	0.365254	0.587718	0.800662	0.639012	0.445079	0.235882	-0.255228	-0.475182	-0.901509	-0.66359	-0.577252	-0.268598	-0.114154
111	-0.000413	-0.044839	0.193937	0.032159	0.290708	0.414862	0.272238	0.271721	-0.022291	-0.056833	-0.41115	-0.528697	-0.517143	-0.407292	-0.526501	-0.12872	0.065623
